-54.00;6.00;232.00;
-12.00;32.00;195.00;
-3.00;14.00;259.00;
-9.00;14.00;263.00;
-8.00;22.00;225.00;
-3.00;27.00;226.00;
-10.00;15.00;241.00;
-12.00;15.00;239.00;
3.00;12.00;240.00;
-10.00;12.00;241.00;
0.00;9.00;222.00;
-9.00;3.00;244.00;
-5.00;4.00;249.00;
4.00;24.00;250.00;
-14.00;19.00;240.00;
-22.00;39.00;226.00;
-14.00;33.00;252.00;
-15.00;4.00;242.00;
-31.00;-20.00;220.00;
-6.00;4.00;243.00;
-27.00;5.00;223.00;
-31.00;4.00;229.00;
-29.00;-1.00;221.00;
-19.00;-20.00;232.00;
-13.00;-16.00;238.00;
-18.00;-21.00;223.00;
-22.00;-2.00;222.00;
-11.00;-7.00;270.00;
-18.00;-26.00;232.00;
-19.00;-26.00;211.00;
-18.00;-9.00;225.00;
-7.00;-8.00;244.00;
-9.00;-10.00;242.00;
-15.00;-11.00;234.00;
-13.00;-12.00;224.00;
-24.00;-14.00;229.00;
-5.00;-8.00;242.00;
5.00;-5.00;231.00;
-13.00;-10.00;215.00;
-5.00;10.00;244.00;
-11.00;7.00;242.00;
-1.00;-2.00;243.00;
9.00;-3.00;240.00;
36.00;-17.00;234.00;
7.00;-13.00;219.00;
-40.00;14.00;249.00;
-29.00;32.00;227.00;
3.00;-16.00;250.00;
2.00;-10.00;252.00;
2.00;-27.00;228.00;
13.00;-33.00;241.00;
-19.00;-7.00;240.00;
-8.00;-55.00;201.00;
-54.00;21.00;230.00;
-11.00;-8.00;239.00;
-7.00;-18.00;239.00;
-8.00;-16.00;243.00;
-7.00;-15.00;240.00;
-12.00;-20.00;229.00;
-10.00;-19.00;240.00;
-12.00;-24.00;233.00;
-12.00;-29.00;234.00;
-18.00;-26.00;229.00;
-17.00;-24.00;232.00;
-14.00;-30.00;235.00;
-18.00;-26.00;237.00;
-12.00;-31.00;238.00;
-10.00;-35.00;229.00;
-19.00;-12.00;236.00;
-7.00;-22.00;236.00;
-10.00;-31.00;235.00;
-13.00;-23.00;235.00;
-9.00;-22.00;240.00;
9.00;-11.00;240.00;
-33.00;-9.00;234.00;
-18.00;-30.00;231.00;
-11.00;-25.00;249.00;
-24.00;3.00;256.00;
-22.00;3.00;247.00;
-28.00;-45.00;222.00;
-36.00;-29.00;247.00;
-28.00;-12.00;241.00;
-37.00;-25.00;239.00;
-29.00;-32.00;244.00;
-40.00;-34.00;242.00;
-49.00;-20.00;251.00;
